,Total Elected,Active,All ProDem,Active ProDem,ProBJ,Inactive,Resign
No. of members,452,186,390,124,62,265,246
No. of votes,1678119,640615,1506382,468878,171737,1031963,957219
,,,,,,,
,1618,2422,1618,3289,2422,1618,2672
,2672,3289,2672,4002,2570,2672,2669
,2669,4002,2669,1373,2121,2669,3135
,2422,1373,3135,2340,1908,3135,3312
,3135,2340,3195,1723,1790,3195,3073
,3195,2570,3312,4144,2664,3312,2734
,3312,2121,3289,4600,3111,3073,2781
,3289,1908,4002,3215,3229,2734,2403
,4002,1790,3073,3212,3274,2781,2909
,3073,1723,2734,2806,1882,2403,3093
,2734,4144,2781,3113,1928,2909,2363
,2781,4600,2403,3492,2102,3093,1891
,2403,3215,2909,2994,2310,2363,1918
,2909,3212,3093,3200,1640,1891,2502
,3093,2664,1373,2547,2650,1918,2899
,1373,3111,2363,2680,3312,2502,1954
,2363,2806,1891,2984,2952,2899,4848
,1891,3229,1918,4242,1983,1954,4323
,1918,3113,2502,2957,2480,4390,4204
,2502,3492,2899,2632,2638,4848,5323
,2899,2994,2340,1977,1574,4323,3569
,2340,3200,1954,2573,2916,4204,3982
,2570,3274,1723,1745,1881,5323,4936
,2121,2547,4390,1423,1779,3569,3412
,1954,1882,4848,3517,3268,3982,3591
,1908,2680,4144,3359,2882,4936,3596
,1790,1928,4323,2334,3694,3412,2464
,1723,2984,4600,4503,4200,3591,3947
,4390,4242,3215,3666,2901,3596,2971
,4848,2102,4204,2738,4176,2464,2700
,4144,2957,5323,4031,3499,3947,4315
,4323,2310,3569,2487,3977,2971,4127
,4600,2632,3982,4264,4514,2700,3727
,3215,1977,3212,3406,4080,4315,5389
,4204,2573,4936,2512,2857,4127,3771
,5323,1745,3412,3054,3853,3727,3297
,3569,1423,3591,3554,3247,5389,3563
,3982,3517,3596,6098,2871,3771,5001
,3212,3359,2806,2976,2684,3297,3136
,4936,2334,2464,3523,2893,3563,3827
,3412,1640,3113,2863,2562,3814,4737
,3591,4503,3947,3454,2203,5001,3750
,2664,3666,2971,2982,1896,3136,4164
,3111,2738,2700,4480,2937,3827,4540
,3596,2650,4315,2856,2221,4737,3121
,2806,4031,4127,2788,2257,3750,3751
,3229,2487,3727,3261,1848,4164,4292
,2464,4264,5389,3887,3799,4540,4263
,3113,3406,3771,4498,3181,3121,3983
,3947,3312,3492,4129,3371,3751,1003
,2971,2512,3297,5214,3143,4292,2604
,2700,2952,3563,5798,2568,4191,4748
,4315,1983,2994,4204,2998,4263,3301
,4127,2480,3814,4662,3577,3983,2943
,3727,2638,3200,4780,1923,1003,2161
,5389,1574,5001,4419,2449,2604,2663
,3771,2916,3136,3934,3427,4748,1516
,3492,1881,3827,3724,3531,3301,1533
,3297,3054,4737,4410,3759,2943,2193
,3563,3554,3750,4073,2873,2161,3235
,2994,1779,4164,4254,1499,2663,2996
,3814,3268,4540,3797,1003,1516,3573
,3200,6098,3121,3177,,1533,4281
,5001,2976,3751,3799,,2193,3592
,3274,3523,2547,3727,,3235,2668
,3136,2863,4292,4382,,2996,1462
,3827,3454,4191,2479,,3573,5292
,4737,2982,4263,4027,,4281,4020
,3750,2882,3983,4238,,3592,4154
,4164,3694,2680,4605,,2668,3960
,4540,4200,1003,3659,,1462,4127
,3121,2901,2604,3249,,5292,3206
,3751,4176,2984,4454,,4020,4546
,2547,3499,4242,2569,,4154,3966
,4292,3977,4748,4491,,3960,2499
,4191,4514,2957,2761,,4127,4583
,4263,4080,2632,5288,,3206,3722
,3983,4480,3301,2969,,4546,3929
,1882,2857,2943,3693,,3966,4595
,2680,3853,2161,3435,,2499,4715
,1003,2856,2663,4266,,4583,4115
,1928,3247,1977,3346,,3722,3625
,2604,2788,2573,,,3929,2911
,2984,3261,1745,3605,,1936,4394
,4242,3887,1423,4370,,4595,4460
,2102,4498,1516,5383,,4715,2882
,4748,2871,1533,3583,,4115,4396
,2957,2684,3517,2730,,3625,4372
,2310,4129,3359,1850,,2911,3822
,2632,5214,2193,3089,,4394,4854
,3301,5798,3235,5585,,4460,3451
,2943,4204,2996,5240,,2882,4518
,2161,4662,2334,4222,,4396,4608
,2663,4780,3573,5244,,4372,4087
,1977,2893,4281,4743,,3822,3838
,2573,4419,3592,5524,,4854,4221
,1745,3934,2668,4960,,3451,5010
,1423,3724,1462,4837,,4518,5764
,1516,4410,4503,4406,,4608,5862
,1533,4073,5292,4440,,4087,4709
,3517,4254,4020,3101,,3838,5559
,3359,2562,3666,4732,,4221,3335
,2193,2203,4154,3894,,5010,3501
,3235,3797,2738,5453,,5764,4055
,2996,3177,3960,4198,,5862,4433
,2334,3799,4127,4313,,4709,5364
,1640,3727,4031,2611,,5559,5123
,3573,4382,3206,3019,,3335,3687
,4281,1896,2487,3929,,3501,3993
,3592,2937,4546,4744,,4055,4332
,2668,2479,4264,5343,,4433,4751
,1462,4027,3406,5953,,5364,4490
,4503,4238,3966,6824,,5123,3825
,5292,4605,2499,4419,,3687,2997
,4020,3659,4583,3532,,3993,3070
,3666,3249,3722,4396,,4332,6450
,4154,4454,3929,2902,,4751,5638
,2738,2221,2512,3456,,4490,5470
,3960,2257,1936,3101,,3825,4070
,2650,2569,3054,4365,,2997,2612
,4127,1848,4595,4662,,3070,3628
,4031,3799,4715,5997,,6450,3231
,3206,4491,3554,5376,,5638,3522
,2487,2761,4115,5049,,4203,3962
,4546,5288,3625,1332,,5470,3940
,4264,3181,2911,,,4070,1964
,3406,3371,4394,,,2969,4718
,3966,3143,4460,,,2612,2797
,2499,2969,2882,,,3628,3677
,3312,3693,4396,,,3231,3538
,4583,3435,6098,,,3522,3409
,3722,4266,4372,,,3962,3489
,3929,3346,3822,,,3940,5098
,2512,,4854,,,1964,4444
,2952,3605,3451,,,5113,2857
,1983,4370,4518,,,4718,4161
,2480,5383,4608,,,2797,5769
,2638,3583,4087,,,3677,3954
,1574,2730,3838,,,3538,4074
,2916,1850,4221,,,3409,3815
,1881,3089,5010,,,3489,1648
,1936,2568,5764,,,5098,2834
,3054,5585,5862,,,4444,3857
,4595,5240,4709,,,2857,4279
,4715,4222,5559,,,4161,3839
,3554,5244,2976,,,5769,4698
,1779,4743,3335,,,3954,4730
,4115,5524,3501,,,4074,3784
,3625,2998,4055,,,3815,5590
,3268,3577,3523,,,3276,5534
,2911,4960,2863,,,1648,3476
,4394,4837,3454,,,2834,2637
,4460,4406,4433,,,3857,3832
,2882,4440,5364,,,4279,4013
,4396,3101,2982,,,5486,2377
,6098,4732,5123,,,3839,1838
,4372,3894,3687,,,4698,3391
,3822,5453,3993,,,4730,3172
,4854,4198,4332,,,3784,1780
,3451,4313,4751,,,5590,3530
,4518,2611,4490,,,5534,3347
,4608,3019,3825,,,3476,3513
,4087,3929,4480,,,2637,3882
,3838,4744,2997,,,3832,3955
,4221,5343,3070,,,4013,3416
,5010,5953,6450,,,2377,3809
,5764,6824,5638,,,1838,4325
,5862,4419,4203,,,3391,5100
,4709,1923,5470,,,3172,4329
,5559,3532,4070,,,1780,4446
,2976,4396,2969,,,3530,5314
,3335,2449,2612,,,3347,5939
,3501,2902,2856,,,3513,2735
,4055,3456,3628,,,3882,3944
,3523,3101,3231,,,3955,3378
,2863,4365,3522,,,4371,4295
,3454,3427,3962,,,3416,4470
,4433,3531,3940,,,3809,3630
,5364,4662,1964,,,4325,4513
,2982,3759,2788,,,6004,2466
,2882,2873,3261,,,5100,4454
,3694,5997,5113,,,4329,4279
,5123,5376,4718,,,4446,6028
,4200,5049,2797,,,5314,4670
,3687,1332,3887,,,5939,3768
,2901,1499,4498,,,2735,4435
,3993,1003,3677,,,3944,6657
,4176,,3538,,,3378,3302
,3499,,3409,,,4295,2550
,3977,,3489,,,3926,2805
,4332,,5098,,,4470,2127
,4514,,4444,,,3630,4724
,4751,,2857,,,4513,5414
,4080,,4129,,,2466,3199
,4490,,5214,,,4454,2099
,3825,,4161,,,4279,4121
,4480,,5798,,,6028,4948
,2997,,4204,,,4670,4722
,2857,,5769,,,3768,4037
,3070,,3954,,,4435,4599
,3853,,4074,,,6657,3928
,6450,,4662,,,3302,4265
,5638,,4780,,,2550,5420
,4203,,3815,,,2805,3346
,5470,,3276,,,2127,5122
,4070,,1648,,,4724,4321
,2969,,2834,,,5414,6421
,2612,,3857,,,3199,5280
,2856,,4419,,,2099,4212
,3628,,3934,,,4121,4552
,3231,,3724,,,4948,3101
,3522,,4279,,,4722,3869
,3247,,5486,,,4037,3399
,3962,,3839,,,4599,4854
,3940,,4410,,,5629,4054
,1964,,4698,,,3928,3550
,2788,,4073,,,3755,4665
,3261,,4254,,,4265,4167
,5113,,4730,,,5420,5816
,4718,,3784,,,3346,4775
,2797,,3797,,,3283,5157
,3887,,5590,,,5122,4691
,4498,,5534,,,4321,4280
,2871,,3476,,,6421,3333
,3677,,2637,,,5280,3982
,3538,,3832,,,4212,3102
,3409,,3177,,,4552,4980
,3489,,4013,,,3101,3118
,5098,,3799,,,3869,4463
,4444,,3727,,,3399,4240
,2857,,4382,,,4854,3585
,2684,,2377,,,4054,4780
,4129,,1838,,,3550,3613
,5214,,3391,,,4665,3297
,4161,,3172,,,4167,2836
,5798,,1780,,,5816,5642
,4204,,2479,,,4775,5194
,5769,,3530,,,5157,4727
,3954,,3347,,,4691,4274
,4074,,3513,,,4280,4575
,4662,,4027,,,3333,5061
,4780,,4238,,,3982,3711
,2893,,3882,,,3102,2708
,3815,,4605,,,4980,2072
,3276,,3955,,,3118,5142
,1648,,3659,,,4463,5541
,2834,,3249,,,4240,
,3857,,4371,,,4891,
,4419,,3416,,,3585,
,3934,,3809,,,4780,
,3724,,4325,,,4766,
,4279,,4454,,,3469,
,5486,,6004,,,3613,
,3839,,5100,,,3297,
,4410,,4329,,,2836,
,4698,,2569,,,5642,
,4073,,4491,,,5194,
,4254,,2761,,,4727,
,2562,,4446,,,4274,
,4730,,5288,,,4575,
,3784,,5314,,,5061,
,2203,,5939,,,3711,
,3797,,2735,,,2708,
,5590,,3944,,,2072,
,5534,,3378,,,5142,
,3476,,4295,,,,
,2637,,3926,,,,
,3832,,4470,,,,
,3177,,3630,,,,
,4013,,4513,,,,
,3799,,2969,,,,
,3727,,2466,,,,
,4382,,4454,,,,
,2377,,4279,,,,
,1896,,3693,,,,
,1838,,3435,,,,
,3391,,6028,,,,
,3172,,4670,,,,
,1780,,3768,,,,
,2937,,4266,,,,
,2479,,3346,,,,
,3530,,5541,,,,
,3347,,4435,,,,
,3513,,3605,,,,
,4027,,6657,,,,
,4238,,4370,,,,
,3882,,5383,,,,
,4605,,3302,,,,
,3955,,3583,,,,
,3659,,2730,,,,
,3249,,2550,,,,
,4371,,2805,,,,
,3416,,2127,,,,
,3809,,1850,,,,
,4325,,3089,,,,
,4454,,4724,,,,
,6004,,5414,,,,
,5100,,3199,,,,
,2221,,2099,,,,
,4329,,4121,,,,
,2257,,4948,,,,
,2569,,4722,,,,
,1848,,5585,,,,
,3799,,5240,,,,
,4491,,4037,,,,
,2761,,4222,,,,
,4446,,4599,,,,
,5288,,5629,,,,
,5314,,3928,,,,
,5939,,3755,,,,
,2735,,4265,,,,
,3181,,5244,,,,
,3944,,4743,,,,
,3378,,5420,,,,
,3371,,5524,,,,
,4295,,3346,,,,
,3926,,4960,,,,
,4470,,3283,,,,
,3630,,4837,,,,
,3143,,5122,,,,
,4513,,4406,,,,
,2969,,4440,,,,
,2466,,4321,,,,
,4454,,6421,,,,
,4279,,3101,,,,
,3693,,5280,,,,
,3435,,4732,,,,
,6028,,4212,,,,
,4670,,4552,,,,
,3768,,3101,,,,
,4266,,3894,,,,
,3346,,3869,,,,
,5541,,5453,,,,
,4435,,3399,,,,
,3605,,4854,,,,
,6657,,4198,,,,
,4370,,4313,,,,
,5383,,4054,,,,
,3302,,3550,,,,
,3583,,2611,,,,
,2730,,3019,,,,
,2550,,4665,,,,
,2805,,3929,,,,
,2127,,4744,,,,
,1850,,4167,,,,
,3089,,5343,,,,
,4724,,5816,,,,
,5414,,4775,,,,
,2568,,5953,,,,
,3199,,6824,,,,
,2099,,5157,,,,
,4121,,4419,,,,
,4948,,4691,,,,
,4722,,4280,,,,
,5585,,3333,,,,
,5240,,3982,,,,
,4037,,3532,,,,
,4222,,3102,,,,
,4599,,4980,,,,
,5629,,3118,,,,
,3928,,4463,,,,
,3755,,4240,,,,
,4265,,4396,,,,
,5244,,4891,,,,
,4743,,2902,,,,
,5420,,3585,,,,
,5524,,3456,,,,
,3346,,4780,,,,
,2998,,4766,,,,
,3577,,3101,,,,
,4960,,3469,,,,
,3283,,3613,,,,
,4837,,3297,,,,
,5122,,2836,,,,
,4406,,4365,,,,
,4440,,5642,,,,
,4321,,5194,,,,
,6421,,4727,,,,
,3101,,4274,,,,
,5280,,4575,,,,
,4732,,4662,,,,
,4212,,5061,,,,
,4552,,3711,,,,
,3101,,5997,,,,
,3894,,5376,,,,
,3869,,5049,,,,
,5453,,2708,,,,
,3399,,1332,,,,
,4854,,2072,,,,
,4198,,5142,,,,
,4313,,,,,,
,4054,,,,,,
,3550,,,,,,
,2611,,,,,,
,3019,,,,,,
,4665,,,,,,
,3929,,,,,,
,4744,,,,,,
,4167,,,,,,
,5343,,,,,,
,5816,,,,,,
,4775,,,,,,
,5953,,,,,,
,6824,,,,,,
,5157,,,,,,
,4419,,,,,,
,4691,,,,,,
,1923,,,,,,
,4280,,,,,,
,3333,,,,,,
,3982,,,,,,
,3532,,,,,,
,3102,,,,,,
,4980,,,,,,
,3118,,,,,,
,4463,,,,,,
,4240,,,,,,
,4396,,,,,,
,4891,,,,,,
,2449,,,,,,
,2902,,,,,,
,3585,,,,,,
,3456,,,,,,
,4780,,,,,,
,4766,,,,,,
,3101,,,,,,
,3469,,,,,,
,3613,,,,,,
,3297,,,,,,
,2836,,,,,,
,4365,,,,,,
,5642,,,,,,
,5194,,,,,,
,4727,,,,,,
,4274,,,,,,
,4575,,,,,,
,3427,,,,,,
,3531,,,,,,
,4662,,,,,,
,3759,,,,,,
,5061,,,,,,
,3711,,,,,,
,2873,,,,,,
,5997,,,,,,
,5376,,,,,,
,5049,,,,,,
,2708,,,,,,
,1332,,,,,,
,2072,,,,,,
,1499,,,,,,
,1003,,,,,,
,5142,,,,,,
